temperature,humidity,moisture,nitrogen,potassium,phosphorus,label
24.6,66.4,29.2,77.8,54,7.3,Diseased
24,66.8,37.9,88.5,49.9,8.9,Diseased
33,86.7,53.4,10.2,66.6,10.2,Diseased
34.4,72.4,28.9,35.2,51.2,24.9,Diseased
34.8,42.9,38.2,78.3,75.9,45,Healthy
27.9,59.4,63.7,51.3,32.7,37.7,Diseased
24.7,47.8,55,33.7,43.8,13.2,Healthy
36.5,50.1,59.3,77.1,73.4,13.3,Healthy
37.6,50.9,55.1,85.9,49.5,14.5,Healthy
34.1,47.2,51.8,32.7,42.8,7.7,Diseased
34.6,65.1,65.7,97.5,44.1,19.7,Diseased
26.9,72.6,49.9,59.4,24.7,22.2,Healthy
28.5,85.8,34.6,20.6,26.2,10.5,Diseased
30.9,40.5,64.1,34.9,15.8,35.2,Diseased
23.5,72.3,36,44.9,62.8,20,Healthy
32.5,48.9,51.2,96.9,69.6,13.4,Healthy
28.4,65.5,36.1,49,38.1,5.5,Diseased
32,52.2,61,35.2,38,48.7,Diseased
39.6,51.1,34,87.6,70.5,13.6,Healthy
22.1,42.3,20.7,17.4,70.9,31.2,Diseased
30.9,59,60.1,52.1,34.7,38.5,Diseased
23.1,53.6,30.5,13.1,50.4,11.9,Diseased
32.8,72.2,22.1,50.8,64.9,10.8,Diseased
32,50.4,46.2,78.2,49.6,11.1,Healthy
28.1,63.7,68.6,95.2,69.3,8.3,Diseased
30.7,42.9,40.1,38.7,52.6,35.2,Healthy
39,41.5,23.5,39.8,71.3,34.7,Diseased
26.6,67.6,45.1,29.3,63.3,18.6,Diseased
23.7,60.3,61.6,92.6,34.1,38.7,Diseased
29.4,87,20.5,56.4,19.2,25.6,Diseased
38.2,80.9,63.2,68.4,57,31.9,Diseased
35.9,83.1,23.9,37.2,44.2,28.3,Diseased
24.5,59.7,29.3,25.9,75.5,22.5,Diseased
37.8,41.7,54.2,61.2,48.9,22.3,Healthy
23.6,51.2,31.1,21.3,29.4,31.8,Diseased
21,61.4,23.9,89.6,76.1,5.7,Diseased
34,67.4,34.5,30.9,61,43,Healthy
24.8,80.3,67.4,12.4,56.6,33.9,Diseased
20.7,58.9,62,94,51.7,32.7,Diseased
22.6,75.4,60.2,91.5,18.7,44.2,Diseased
25.8,87.5,31.6,34.8,67.3,49.5,Healthy
21.2,62.6,37,11.5,13.3,14.2,Diseased
21.3,61.4,53.8,56.9,20.2,36,Healthy
30.1,54.8,44.1,26.9,53.8,15.3,Diseased
34.2,65.3,57.2,20.6,44.1,34.2,Diseased
33.2,49,36,55.6,28,31.3,Healthy
38.9,79.6,36.7,93.1,19.9,37.7,Diseased
31,60.5,42.7,93,28.7,22.2,Healthy
27.9,50.6,58.7,67.1,53,18.7,Healthy
28.9,83.1,33.6,69.8,75.3,44.8,Healthy
39.3,49.9,62.1,60.2,15.2,45.4,Diseased
25.7,56,28.3,24,44.3,10.1,Diseased
21.6,75.6,39.8,21.8,42.9,45.2,Diseased
21.4,79.5,61.7,36.3,37,42.1,Diseased
29.3,40.9,24.3,83.8,15.9,39.4,Diseased
34.7,65.6,37.8,28,26.5,32.2,Diseased
34.2,72.9,36.6,16.6,46.3,16.2,Diseased
29.4,82.5,43.8,82.6,45.8,36.9,Healthy
24.3,55.7,35.8,69.5,77.4,34.8,Healthy
25.8,50.5,63.3,55.7,64.4,7.2,Diseased
24.3,53.1,61.3,86.9,66.6,38.2,Diseased
29.9,64.8,48.9,20,32.5,33.1,Diseased
29.8,79,45,69.2,64.4,9.3,Diseased
30,68.4,33.7,78.3,35.1,24.7,Healthy
37.1,86.5,34.2,48.8,78.4,32.6,Healthy
34.6,60,42.3,15.3,38.5,12.4,Diseased
28.5,89.2,30.5,38.1,18.7,49.6,Diseased
24.6,86.3,34.7,45.9,76.1,25.5,Healthy
37.9,64.6,46.9,60.2,40.7,13.8,Healthy
37.9,54.8,61.1,87.5,76.6,17.4,Diseased
30.4,88.1,28,67.3,67.8,36.4,Diseased
23.1,41.3,30.1,49.2,74.3,30.8,Healthy
32.6,42.4,60.4,42,30.5,18.2,Diseased
31.9,57.8,48.4,63.2,69,46.7,Healthy
34,79.8,58.5,14.2,14.1,12.3,Diseased
27.3,53.1,66.9,87.7,59.9,21.7,Diseased
38.2,71.4,25.3,54.4,72.2,10.3,Diseased
38.6,88.3,28.2,88.1,35.7,6.8,Diseased
38.1,51.8,69.5,73.6,44,25.4,Diseased
33.2,88.6,38.7,85.8,66.1,10.6,Healthy
31.3,50.4,27.3,61.8,74.3,38.3,Diseased
35.4,85.8,39.4,86,39.3,39.9,Healthy
27,62.9,63.8,70.8,61.2,45,Diseased
27.6,73.7,27,55.4,33.8,9,Diseased
26.7,68.4,40.4,38.5,78.2,48.1,Healthy
24.7,46.6,40.1,30.7,35.9,11.5,Healthy
35.2,54.9,52.3,63,35.4,18,Healthy
38.4,41,41.7,38.7,40.1,22.1,Healthy
37.7,50.4,44.4,74.4,70.4,10.3,Healthy
31.7,48.6,31,97.3,12.5,15.6,Diseased
24.3,70,40.7,77.1,19.3,33.3,Diseased
30.1,85,22,32.9,62.9,31,Diseased
20.2,40.3,26.4,13.6,70.9,25.8,Diseased
36.9,69.1,24.4,24.9,44.3,44,Diseased
35.7,82.4,27.8,97.5,70.8,46.2,Diseased
29.2,68.7,62.8,79.2,48.8,44.8,Diseased
39.8,84.5,30.2,31.8,11.9,27.8,Diseased
36.5,85,31.7,56.6,29.1,8.2,Diseased
30,84.9,47.9,33.4,26.3,48.7,Healthy
29,89.3,59,85.4,51.3,26,Healthy
22.7,51,36.4,19.5,13.7,31.6,Diseased
38.6,56.8,50.8,21.6,63.7,12.2,Diseased
25.8,57.6,31.8,54.7,47,7.6,Diseased
33.7,54.5,22,82.5,76.1,20.1,Diseased
22.7,70.4,21.7,64.4,49,41.6,Diseased
20.5,85.8,67.9,30.7,47,44.7,Diseased
32.3,56,23.2,58.4,63,8.8,Diseased
26.6,46.4,50.2,14.3,41.3,9.6,Diseased
22.8,86.3,24.1,54.5,37,29.6,Diseased
37.8,74.5,48.3,21.5,28,17.7,Diseased
32.6,84.9,48.7,36.1,26.1,29.1,Healthy
23.4,77,28.9,67.7,59.9,7,Diseased
34.4,68.2,53.3,57,19.9,12.6,Diseased
21.6,83.6,61.9,46,66.7,19,Diseased
22.5,83.4,30.1,56.3,70.5,20.4,Healthy
36.4,43.6,57.2,12.4,56.7,18.1,Diseased
22.2,51.7,32.3,64,48.5,12.8,Healthy
35.8,76.3,49.8,73.2,52.2,31.1,Healthy
28.3,60.8,55.9,98.8,39.5,26.9,Healthy
38.9,66.3,65.1,70.5,49.3,18.5,Diseased
30.8,63,25.1,99.4,29.8,39.1,Diseased
29.2,62.1,29.9,76.5,68.2,45.6,Diseased
23.1,65.7,44.7,49.6,16.3,49.5,Diseased
35,72.1,59.3,33.3,20,13.9,Healthy
22.8,76.6,22.4,63.5,37.9,22.6,Diseased
22.5,72.4,68.5,66.7,44.1,22.3,Diseased
27.7,67.6,26.1,22.9,13.9,15.4,Diseased
22.1,85.5,56.5,24.9,20.3,34.2,Diseased
34.4,68.7,38.7,80.7,23.7,15.4,Healthy
39.3,57.2,50.1,77.8,66.4,28.4,Healthy
36,76.8,61.2,58,68.9,40.1,Diseased
33.4,46.9,60.5,27.4,46.4,46.9,Diseased
21.4,56.6,65.6,10.5,14.2,43.2,Diseased
32.2,69.3,39.8,60.3,37.4,45.5,Healthy
28.6,84.8,59.4,46.2,31.9,29.5,Healthy
25.2,67.5,68.1,16.1,60.4,11.2,Diseased
35,86.7,44.4,57.6,24.6,27,Healthy
35.9,64.2,45,40.9,18.2,42.2,Diseased
36.6,43.1,22.5,22.1,68.6,10.5,Diseased
36.2,71.3,20.2,66.7,13.7,29.1,Diseased
26.3,62.8,69,93,62,6.9,Diseased
36,61.2,59.3,41.4,14.4,11.3,Diseased
21.1,47.4,24.8,39.8,49.5,12.5,Diseased
39.6,46.9,42.5,80.5,50,35.9,Healthy
32.5,43.9,29.7,17.4,73,19.1,Diseased
24.4,76.9,46.3,70.1,37.5,12.4,Healthy
23.6,61.5,52.2,76.4,55.9,13.8,Healthy
29.5,43.9,38.8,67.9,26.7,50,Healthy
36.1,63.7,20.7,85.3,51.4,6.9,Diseased
31.4,45.8,65.7,70.9,72.5,27.7,Diseased
20.2,41.3,52.7,76.1,71.7,29.2,Healthy
24.6,60.8,54.6,54.6,32.1,17,Healthy
31,73.4,42.4,11.2,54.1,41.3,Diseased
30.2,41.3,24.4,66.9,44.2,43.3,Diseased
25.3,68.7,67,76.1,46.3,12.1,Diseased
34.1,83.5,58.2,71.5,74.3,14,Healthy
26.3,44.9,36.8,25,16.1,24.2,Diseased
35.9,56.7,30.6,11.7,73,40.2,Diseased
31.1,87.7,26.5,71,52.1,20.2,Diseased
35.8,61.4,26.1,59.3,79,25.1,Diseased
26.3,57.6,43.7,76.5,24,48.3,Healthy
25.8,74.8,27.2,51,42.6,36.4,Diseased
39,56.5,29.3,43.6,34.1,46.3,Diseased
33.1,69.3,27,42.4,25.2,41,Diseased
34.9,68.1,65.9,59.4,60.3,35.6,Diseased
29.4,77.6,35.4,91.7,15.4,32.1,Diseased
36.9,45.7,46.3,94.7,72.8,29.6,Healthy
33.3,60.5,23.8,32.8,13.6,14.5,Diseased
26.6,55.5,50.1,23.8,19.5,16,Diseased
38.9,54.6,23,43.6,15.1,14.8,Diseased
26.4,84.9,44.1,16.2,53.6,34.9,Diseased
28.4,46.6,68.6,75.2,55.6,30.7,Diseased
39.3,63.7,63,99.1,34,42.2,Diseased
23,62.1,57.1,98.1,18.7,49.5,Diseased
30.4,49.5,40.6,51.5,62.8,34.8,Healthy
30.2,51.5,31.9,20.1,60.9,34.9,Diseased
30.5,42.9,45.7,96.3,52,8.9,Diseased
28.5,75.5,66.4,69.9,62.7,9.5,Diseased
24.1,53.1,40.1,43.4,20.7,46.5,Healthy
22.9,79.6,60.9,14.1,60.3,42.9,Diseased
26.8,70.2,54.2,64,32.8,33.3,Healthy
20.6,63.2,41.4,53.3,23.1,10.5,Healthy
30.1,48.9,27,21.3,75.3,30.6,Diseased
25.6,42.6,38.2,55.8,20.1,41.3,Healthy
35.2,42.8,43.7,95.5,61.2,35,Healthy
35.7,46.8,36.8,76.9,29.7,46.3,Healthy
32.6,61.2,53.2,57.7,42.8,28.2,Healthy
26,46,29.1,30.1,31.7,5.1,Diseased
38.8,71.2,51.4,35.1,76.6,45.3,Healthy
22.9,86.2,58.5,69.2,55.4,8.2,Diseased
21.5,66.9,33.2,31,60.6,39.6,Healthy
24.6,88.4,39.6,17.3,47.4,34.1,Diseased
37.1,86.7,43.6,22.4,56.2,32.8,Diseased
30.1,67,43.3,79.6,54.8,30.9,Healthy
32,44.8,64,27.5,53.6,14.6,Diseased
38.4,58.2,60.7,58.5,54.3,39.2,Diseased
21.4,86.6,23.5,87,70.8,7,Diseased
37.1,78.6,41.6,24.9,43.4,20,Diseased
22.2,63.7,48.5,98.3,30.6,14.9,Healthy
24.7,86.2,68.1,58.6,29.4,39.3,Diseased
28.6,77.4,66.3,98.9,40.2,20.3,Diseased
22.5,67.7,38.5,81.6,74.9,46.2,Healthy
37.2,43.3,21.7,50.8,44.3,48.5,Diseased
28.1,43.8,25.9,22.9,44.3,22.1,Diseased
28.8,73.8,33.4,49.8,56.6,34.3,Healthy
31.2,82.7,48,61.1,52.9,38.5,Healthy
36.5,64.3,62.8,41,59.6,16.2,Diseased
37.6,77.4,35.6,30.8,65.8,12.3,Healthy
32.4,55.3,63.6,97.5,26,17.6,Diseased
33.9,41.5,53.4,75.7,35.8,26.9,Healthy
33.6,66,41.7,98.7,76.6,13.5,Healthy
30.9,52.3,41.4,41.1,19.3,34.8,Diseased
33.7,78.5,36,14.7,67.1,32.2,Diseased
30.5,75.7,24.6,94.1,30.8,29.3,Diseased
27,55.7,68.2,46.6,65.5,41.5,Diseased
25.1,52.3,55.7,80,21.7,33.4,Healthy
31.5,71.8,23.3,50.7,71.1,20.5,Diseased
29.7,62.4,52.2,94.5,52.6,28.6,Healthy
23.3,56.2,51.2,21.4,71,31.4,Diseased
39.4,61.6,53.7,80,19.8,13.9,Diseased
38.6,53.8,68,93.1,19.4,29.7,Diseased
39.9,46.9,39.8,73.6,42,46.1,Healthy
27.6,71.1,61.3,16.1,19,44.8,Diseased
39.6,84.2,67.9,49.1,68.1,8,Diseased
36.2,81.9,54.2,60.6,66.5,10.7,Healthy
24.4,71.3,25.3,24.8,43.5,22,Diseased
30.5,47.6,61.3,50.4,55.2,16.6,Diseased
22.7,72,51.2,21.4,48.3,44.5,Diseased
23.9,67.4,48.3,58.4,46.7,41.5,Healthy
24.5,88,54,81.4,35.2,11.2,Healthy
36.6,43.8,43,10.5,44.3,28.2,Diseased
38.4,54.6,45,76.5,39.6,49.7,Healthy
24,81.3,65.8,64.8,38.5,19.8,Diseased
39,75.9,61.5,60.3,33,49.5,Diseased
24.1,49.4,39.1,69.5,26.6,32.7,Healthy
39.1,50.2,39.8,84,16.1,13.9,Diseased
26,89.5,33.1,18.3,60,14,Diseased
32.4,69.9,27.6,47.6,54.4,49.9,Diseased
21.1,45.3,25.4,65.1,27.1,49.2,Diseased
30.9,59.7,30.8,33.3,27.1,26.9,Healthy
20,76.9,53.8,64,32.5,43.9,Healthy
22.9,85.9,31.6,58.9,21.9,26.5,Healthy
32.7,88.8,59,64.4,57.2,35.9,Healthy
34.2,62.7,44.3,58.1,55.3,7,Diseased
20.6,76.6,21.9,87.5,10.3,49.2,Diseased
26.1,61.2,65.7,55.1,79.7,15.5,Diseased
30.5,46.3,22.4,60,57.5,5.8,Diseased
31.2,42.5,30.1,69.6,49.7,37.9,Healthy
38.4,52,21.8,84.9,28,10.1,Diseased
21.9,72,57,59.3,58,44.6,Healthy
38.1,78.8,36.6,85.3,69.5,13.7,Healthy
32.5,61.5,29.6,14.3,50.6,12.9,Diseased
23.6,55.2,26.7,58.2,36.4,9,Diseased
24.5,59.2,69.2,70,11.5,46.7,Diseased
22.2,69.7,43,37,34.3,7,Diseased
22.1,77.9,35.6,91.4,39.7,35.9,Healthy
39.7,45.2,56.4,22.3,70.3,46.7,Diseased
21.7,57.1,25.3,82.7,25,21.9,Diseased
39.5,56.9,58.7,50.1,24.2,48.4,Healthy
25,60.2,55,56.4,74.4,9.7,Diseased
23.6,66.8,68.6,11.4,19.3,15.8,Diseased
26.1,69.6,39.3,48.1,23.4,48.3,Healthy
25.6,56.6,40.3,39.4,58.4,8.2,Diseased
20.2,71.4,33.1,47.5,60.3,21.5,Healthy
20.5,67.5,27.7,71.8,61.6,43.6,Diseased
31.6,72.5,28,55,33.2,18.9,Diseased
30.9,47.6,35.4,60.8,56.9,42,Healthy
27.1,85.8,65.1,26.9,77.8,25.5,Diseased
34.8,89.8,35.8,26.5,22.2,48.2,Diseased
22.3,49.1,38.7,60.6,56.7,25.4,Healthy
27.2,87.9,63.9,75.1,52.3,32.7,Diseased
24,43.8,28.7,76.1,48.6,12.6,Diseased
39.2,78,66.7,80.6,42.8,20,Diseased
23.2,80.8,64,37,10.4,31.9,Diseased
37.8,52.2,38.5,15.5,27.3,42.7,Diseased
25.1,44.9,21.6,39.8,45.9,5.4,Diseased
33.3,60.6,63,32,54.8,34.9,Diseased
38.4,87.7,50.8,19.9,66.8,38.9,Diseased
36.4,40.5,46,95.9,60.7,6.9,Diseased
30.5,49.7,54.9,93.2,20.1,29.6,Healthy
33.7,46.9,42.5,85.4,17.1,12.4,Diseased
34.4,40.2,36.9,81.2,71.7,26.7,Healthy
25.6,52.4,69.7,16.6,38.8,48.2,Diseased
22.9,82.2,28.5,31.4,65.5,47.1,Diseased
28.7,41.9,64.6,66.2,30.2,30.9,Diseased
23.2,70.7,24.9,61.8,19.4,45.3,Diseased
28.7,64.8,63,66.8,58.4,48.3,Diseased
34.7,60.7,28,17.6,55,17.1,Diseased
20.8,79.9,39.8,61.1,57.3,13.2,Healthy
30.4,61.7,64.6,57.8,75.1,20.4,Diseased
36.7,85.3,66.4,28.5,46.9,25,Diseased
32.9,79.2,68.2,60.5,29.4,47,Diseased
36.8,86.4,43.7,11.3,17.9,40.5,Diseased
25.7,89.9,58.2,51.7,79.8,42.5,Healthy
39.5,85.8,36.3,23.4,77.9,34.9,Diseased
31.8,82.8,36.9,73.5,27.4,5.5,Diseased
38.1,45.1,55.5,46.2,31.1,43.4,Healthy
33.9,83,45.5,93.3,19.2,9.3,Diseased
30.7,44.6,20.4,49.2,63.2,49.4,Diseased
35.6,71.7,42.4,96.4,37.9,37,Healthy
25,67.7,21,12.6,69.4,48.5,Diseased
26.4,46.1,32.9,83.2,31.5,31.3,Healthy
32,83.7,59.3,100,54.2,36.6,Healthy
27.4,58.9,42.7,12.7,74.2,24.5,Diseased
26.3,79.2,68.6,94.2,37.5,40.6,Diseased
34.7,41.6,37.4,99.2,12.4,5,Diseased
38.7,54.6,58.3,91.7,17.5,7,Diseased
38,71.3,26.4,15.9,72,36.5,Diseased
25,89.1,24,72.5,23.7,46.6,Diseased
20.8,73.2,51.8,16.6,25.7,39,Diseased
20.7,88,44.4,31.4,13.7,22.4,Diseased
26.8,78.7,61.4,63.2,28,49.5,Diseased
34.5,86.2,27.8,26,40.6,18.1,Diseased
36.7,81.6,28.1,69,52.6,10,Diseased
20.2,74.4,68.7,61.2,50.4,14.2,Diseased
35.9,46.9,21.9,44.5,48.2,15.8,Diseased
20.7,79,28.1,62.9,19.3,31.5,Diseased
26.5,64,67,27.2,21.8,35.6,Diseased
23.1,73.1,29.3,90.6,40.2,34.4,Diseased
32.8,68.4,56.7,24.7,62.1,21.8,Diseased
25.4,63.7,41,36.3,56.7,23.7,Healthy
38.2,78.2,50.9,84.4,18.7,22.2,Diseased
26.1,74,42.7,20,22.4,32.7,Diseased
20.8,66.1,39.6,39.1,19,30.6,Diseased
29.4,69,34.9,91.3,42,30,Healthy
38.5,64.8,27.9,90.7,14.3,43.2,Diseased
31.9,71.8,53,42.4,76.3,46.4,Healthy
40,54.8,30.1,11.7,44.3,30.3,Diseased
39.8,72.9,51.7,52.6,49.1,22.3,Healthy
27.8,68.7,57.1,69.8,73.7,43.8,Healthy
21.3,76.1,47.1,19.4,69.2,41.1,Diseased
38.8,76.6,50.3,65.2,75.5,19.9,Healthy
32.9,71.9,69.1,36.8,40.6,48.9,Diseased
32.8,66.3,23,64.6,10.3,33.1,Diseased
36.6,72.8,46.5,27.1,77,44.1,Diseased
20.7,47.2,46.8,85.6,13.4,26.5,Diseased
38.6,48.4,60.7,71.5,13.9,14.4,Diseased
37.2,83.2,39.2,36.8,69,7.1,Diseased
28.4,41.6,67.9,60.8,52.9,40.5,Diseased
31.4,70,21.8,45.3,65.7,12.6,Diseased
31.8,82.1,30.2,40.5,40,21.9,Healthy
34.3,64.6,30.1,32.5,16.3,28.1,Diseased
24.3,83.8,30.7,44,65.6,19.4,Healthy
21.4,89.3,47.2,48.5,26.1,19.4,Healthy
33.6,82.5,29.7,75.4,71.9,40.4,Diseased
34.7,48.5,51.7,11.3,19,24.8,Diseased
29,72.2,21.1,35.7,33.4,40.4,Diseased
30.8,62.2,40.3,10.1,64.5,33.9,Diseased
29.2,70.2,66.4,75.5,71,9.6,Diseased
38.8,52.5,42,44.5,73.2,24.4,Healthy
27.2,45.1,34.3,22.2,18.4,49.5,Diseased
24.8,76.2,27.6,37.9,56.1,38.8,Diseased
26.7,41.6,45.4,45.9,68.1,22.9,Healthy
26.5,86.4,61.6,72.4,19.4,6,Diseased
34.5,59.4,66,76.4,13.9,23.6,Diseased
26.9,81.8,65.7,38.4,72.9,41.8,Diseased
23.2,42.1,33.8,28.9,13,38.6,Diseased
21.3,42,30.6,76.6,29,45.1,Healthy
35.6,85.3,48.4,34.9,70.5,31.7,Healthy
28.6,69.6,23.1,92.9,47.8,48.7,Diseased
38.3,84.2,56.1,64.1,52.4,25.8,Healthy
27.2,46.5,21.4,22.5,22.1,13,Diseased
31.5,43.9,57,56.6,32.2,11.1,Healthy
25.7,62.7,23.1,69.9,10.6,43.4,Diseased
36.6,87.4,32.9,77.9,71.4,27.3,Healthy
25.1,73.7,40.2,21.1,59,43.4,Diseased
26.6,83.2,51.1,35.5,40.8,19.1,Healthy
33.7,49.2,58.1,21.9,54.5,29.4,Diseased
26,74.7,30.6,91.7,79.4,42.8,Healthy
24.5,51,68.7,48.4,35.1,35.9,Diseased
20,49.8,63.8,22.8,69.9,25.3,Diseased
25.2,87.2,21.6,86,65.8,45,Diseased
22.2,47.5,53.9,57.9,18.9,22.8,Diseased
32.4,42.4,67.9,84.4,28.9,8.7,Diseased
37.8,89.7,48.1,33.2,22.9,39.2,Healthy
29,77.5,46.4,50.3,77,42.5,Healthy
33.9,55.1,62.6,29.3,19,33.2,Diseased
28.9,50.1,34.2,95.3,59.6,5.4,Diseased
23.7,80.4,60.4,76.1,76.5,9.5,Diseased
36.8,49.9,52.3,60.1,62.8,10.8,Healthy
36.3,72.4,32.3,86.9,29.1,35.1,Healthy
30,66,48.2,47.2,48.2,31.9,Healthy
29,88.6,47.8,35,58.9,44.8,Healthy
29.4,58.8,26.5,48.8,36.3,5.3,Diseased
30.2,61.6,25.7,97.3,19,11.7,Diseased
36.6,79.6,34.1,64.2,14.5,17.1,Diseased
26.8,43.2,38.7,27,78.4,10.1,Diseased
33.6,48.3,23.6,29.1,36.2,31,Diseased
31.9,41.4,23.7,56.2,63.5,49.2,Diseased
26.3,65.9,23.6,90.1,72.7,13.8,Diseased
28.1,79.2,62.1,98.9,25.7,42.4,Diseased
27.4,52.8,66.7,67,49.8,43.4,Diseased
36.7,48.7,20.9,86.2,46.1,12.7,Diseased
26.2,73.7,41.3,59.2,65.4,6.6,Diseased
37.5,54.1,35.2,20.5,64.4,24.2,Diseased
26.7,78.5,22.6,60.9,75.7,43.7,Diseased
26.3,40,30,22.5,77.8,31.3,Diseased
31.3,41.2,58.4,90.8,43.1,7.1,Diseased
37.1,41.1,27.7,46.4,54.5,20.4,Diseased
32.4,45.2,49.8,20.3,68.4,22.2,Diseased
22,44.3,68.4,99.5,43.3,17.5,Diseased
30.2,49.6,29.5,42.7,43.5,46.7,Diseased
30.5,66.9,31.6,53.2,77.7,14,Healthy
23.3,52.9,50.4,83.4,59.2,15.9,Healthy
38.6,40.4,66.5,23.3,28.1,24.6,Diseased
29.6,56.5,26.4,47.6,26.4,41.5,Diseased
38.8,46.1,67.1,27.8,66.4,30.1,Diseased
22.4,50.1,29.2,44.1,61.9,37.5,Diseased
24.7,75.5,51.2,43.6,10.8,34.4,Diseased
36.9,76.8,65,23.1,64.3,21.8,Diseased
30.1,52.6,48.7,17.6,63.4,24.3,Diseased
36.2,79.3,57.3,70.8,72.7,40.2,Healthy
30.5,79.5,57.4,24.9,59.6,45.1,Diseased
32.6,89.1,46.4,87.9,54.8,37.9,Healthy
28.4,51.7,44.4,16,16.8,11.7,Diseased
36,77.1,63.2,79.6,77.1,45.1,Diseased
38.9,86.6,47.3,33.5,34.3,36.4,Healthy
27.1,43.7,35.5,76,53.1,41.5,Healthy
24.3,70.7,69.2,22.8,39.6,14.1,Diseased
30,55.9,65,27.6,66.5,46.2,Diseased
28.6,71,55.6,26.8,58.1,30.5,Diseased
20.8,67.5,21.8,68.9,33.9,8.9,Diseased
26.7,45.9,47.1,69.2,44.2,49.4,Healthy
34.7,47.2,27.3,63.4,30.6,5.5,Diseased
35.9,48.3,47.4,69.4,74,45.8,Healthy
37.2,58.2,45.7,92.9,44.6,7.3,Diseased
30,57.7,48.6,93.1,27.8,11.4,Healthy
29.1,47.4,68.3,97.6,34.4,44.8,Diseased
25,77.8,50.4,69.4,58.5,13.3,Healthy
39.1,84.9,23.8,66.1,57.8,23.7,Diseased
23.6,44.7,24,21.6,23.9,37.3,Diseased
31.6,41.2,38.8,26.8,51.5,20.4,Diseased
34.9,73.7,51.7,22.6,53.2,6.9,Diseased
20.1,49.9,27.7,81,31.2,9,Diseased
23.6,45.7,20,14.1,27.2,30.3,Diseased
39.3,56,38.1,57.7,21.7,20.6,Healthy
27.8,42.9,23,49,75.7,13.1,Diseased
24.7,43.6,57.9,65,55.3,8.3,Diseased
21.9,68.9,57.2,54.3,37.4,18.5,Healthy
31.1,63.6,28.1,21.3,48.7,25.7,Diseased
30.6,46.2,63.2,68.3,23.9,40.8,Diseased
25.7,45.9,24,27.2,32.1,36.9,Diseased
35.2,40.1,39,42.8,37.4,12.8,Healthy
35.4,59.1,33.5,88.6,14.1,26.1,Diseased
29.9,52.8,34.1,53.6,64.8,6.2,Diseased
29.8,50.3,53.2,46.2,67.2,34,Healthy
23.7,59.8,49.5,59.4,38.5,44,Healthy
26.7,85.8,63.2,29.8,56.5,24.2,Diseased
36.8,41.8,32.6,83.8,15.8,12.2,Diseased
23.9,89.7,36.9,16.4,39.9,49.5,Diseased
29.1,87.1,64.1,88.3,76.6,16.1,Diseased
34.4,69.9,68.2,24.5,20.4,6.6,Diseased
32.2,83.8,41.3,60.5,78,7.9,Diseased
33.2,88.6,58.8,28.8,19.7,36,Diseased
21.4,75.2,43.9,41.4,68.7,5.4,Diseased
24.8,52.4,25.2,44,46.5,29,Diseased
31.5,80.6,42.1,58.5,79.5,39.2,Healthy
31.5,79.9,26.2,66.8,70.3,16.9,Diseased
32.2,87.9,55.7,27.6,36.4,33.8,Diseased
35.4,53.3,55.7,26.2,48.3,36.9,Diseased
24.6,69.5,26.7,93.9,42.1,14.9,Diseased
22.7,51.9,56.3,50.7,14,39.1,Diseased
22.6,89.9,57.3,48.2,21.3,12.2,Healthy
29.2,49,41.2,27.9,24.2,24.7,Diseased
20.2,86.3,57.2,85.9,52.5,34.9,Healthy
37.1,80.2,62.5,18.5,24.4,43.5,Diseased
38.4,58.1,65.7,16.6,48.9,8.2,Diseased
25,65.4,34.1,85.9,54.9,31.5,Healthy
35.8,61.3,47.5,20.9,35.8,42.3,Diseased
32.9,55.6,22.6,47.5,28.9,42.3,Diseased
38.1,66.9,65.3,31.3,54.6,37.4,Diseased
39.1,49.4,30,25.6,67.1,48.4,Diseased
20.2,69.8,62,19.1,37.2,44.7,Diseased
39.9,47.7,32.2,11.7,54.3,46.2,Diseased
28.4,83.5,40.6,54.5,13.2,47.4,Diseased
24.6,46.8,65.5,54.6,58.4,22,Diseased
23.8,88.6,59,45.2,37.8,38.6,Healthy
32.5,78.4,59,94,66.5,22.2,Healthy
38.7,50.2,39.5,39.5,77.6,22,Healthy
29.3,56.4,70,82.6,25.1,9.3,Diseased
36.2,58.8,39.3,33,72.3,43.4,Healthy
32.2,74.5,30.4,26,46.1,37.2,Diseased
27,88.9,26.7,81.5,56.5,26.2,Diseased
21,84.7,64.2,12.4,45.9,22.7,Diseased
27.4,68.1,62.3,58.5,78.4,45.4,Diseased
28.4,81.1,38.5,13.3,64.5,47.2,Diseased
37.4,65.1,59.6,22,62.1,7.9,Diseased
38.6,65.2,47.4,50.8,55.6,32.7,Healthy
29.7,82.7,20.8,66.4,34.8,40.5,Diseased
29.5,40.5,41.7,87.6,34.4,29.8,Healthy
27.6,85.7,58.1,86.4,49.8,48,Healthy
22.4,47.5,24.9,18.3,28.7,27.2,Diseased
31.7,74.5,20.7,23.9,51.7,29.2,Diseased
37.1,85.1,60.7,68.5,23.9,16.5,Diseased
27.6,55.5,62,70.2,47.7,49.6,Diseased
37,71.4,58.3,26,73.1,29.9,Diseased
20.5,88.9,46.5,94.8,74.8,44.1,Healthy
37.1,73.9,40.9,28.2,34.6,47.3,Diseased
38.3,83.8,59.3,91.2,44.3,10.2,Healthy
39.2,49.6,69.8,73.3,42.9,20.2,Diseased
21.2,59.7,59.8,48.7,22.4,42.8,Healthy
35.7,51.6,23.5,24.6,79.2,10.4,Diseased
